WXSTN_NUM,WX_DATE,Julian day,WIND_DIR,WIND_SPEED,FFMC,DMC,BUI
10100,28/03/2000,88,0,0,85,6,0
10100,29/03/2000,89,45,8,84.2,6,6
10100,30/03/2000,90,90,6,86.6,7,7
10100,31/03/2000,91,45,18,85.3,8,8
10100,01/04/2000,92,225,8,22.5,4,4
10100,02/04/2000,93,45,9,46.9,5,5
10100,03/04/2000,94,315,12,60.3,5,5
10100,04/04/2000,95,270,7,72.2,5,5
10100,05/04/2000,96,135,18,79.9,6,6
10100,06/04/2000,97,270,10,28.4,2,1
10100,07/04/2000,98,270,5,47.8,2,2
10100,08/04/2000,99,225,14,62.2,2,2
10100,09/04/2000,100,270,14,72,2,2
10100,10/04/2000,101,270,5,79.3,2,2
10100,11/04/2000,102,270,9,83.9,2,2
10100,12/04/2000,103,180,19,85.2,3,3
10100,13/04/2000,104,225,19,50,2,3
10100,14/04/2000,105,0,0,0,0,0
10100,15/04/2000,106,0,0,0,0,0
10100,16/04/2000,107,0,0,0,0,0
10100,17/04/2000,108,0,0,0,0,0
10100,18/04/2000,109,0,0,0,0,0
10100,19/04/2000,110,0,0,0,0,0
10100,20/04/2000,111,0,0,85,6,0
10100,21/04/2000,112,225,22,91.2,10,10
10100,22/04/2000,113,45,13,86.4,11,11
10100,23/04/2000,114,45,11,86.1,12,12
10100,24/04/2000,115,180,16,92,16,16
10100,25/04/2000,116,180,21,93.1,21,21
10100,26/04/2000,117,315,11,92.8,24,24
10100,27/04/2000,118,360,10,85.8,24,24
10100,28/04/2000,119,45,12,86.1,25,25
10100,29/04/2000,120,180,14,89.3,28,28
10100,30/04/2000,121,225,19,34.1,18,18
10100,01/05/2000,122,45,11,37.4,14,16
10100,02/05/2000,123,180,18,76.6,17,19
10100,03/05/2000,124,180,21,88.4,21,22
10100,04/05/2000,125,90,13,91,25,25
10100,05/05/2000,126,270,5,86.5,29,29
10100,06/05/2000,127,360,15,50.8,19,23
10100,07/05/2000,128,315,6,77.4,22,26
10100,08/05/2000,129,90,19,78.7,23,27
10100,09/05/2000,130,270,21,52.7,16,21
10100,10/05/2000,131,315,5,61.2,16,22
10100,11/05/2000,132,45,15,70.9,17,23
10100,12/05/2000,133,45,19,13.1,23,12
10100,13/05/2000,134,315,14,20.8,23,8
10100,14/05/2000,135,270,14,57.1,24,11
10100,15/05/2000,136,225,9,79,10,15
10100,16/05/2000,137,225,21,90.2,14,19
